year,number,one,two,three,four,five,six,seven,eight,nine
1909,15,Schulte,Kane,Howard,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,16,Schulte,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,17,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,18,Sheckard,Schulte,Zimmerman,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,19,Sheckard,Schulte,Zimmerman,Howard,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,20,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,21,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,22,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,23,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,24,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,25,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,26,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,27,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,28,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,29,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,30,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,31,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,32,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Zimmerman,Moran,pitcher
1909,33,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,34,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,35,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,36,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Kane,Moran,pitcher
1909,37,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Kane,Moran,pitcher
1909,38,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,39,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,40,Kane,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,41,Kane,Sheckard,Stanley,Hofman,Steinfeldt,Howard,Tinker,Moran,pitcher
1909,42,Evers,Sheckard,Hofman,Steinfeldt,Howard,Stanley,Tinker,Moran,pitcher
1909,43,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Moran,pitcher
1909,44,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Moran,pitcher
1909,45,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Tinker,Moran,pitcher
1909,46,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Zimmerman,Moran,pitcher
1909,47,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Zimmerman,Moran,pitcher
1909,48,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Zimmerman,Moran,pitcher
1909,49,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Zimmerman,Moran,pitcher
1909,50,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Zimmerman,Moran,pitcher
1909,51,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Zimmerman,Moran,pitcher
1909,52,Evers,Sheckard,Hofman,Steinfeldt,Howard,Schulte,Zimmerman,Moran,pitcher
